cid,smiles
30,C(=CC=O)C=C(C(=O)O)N
38,CC(C)(CO)C(=O)C(=O)O
48,C(CC(=O)N)C(=O)C(=O)O
51,C(CC(=O)O)C(=O)C(=O)O
120,C1=CC(=O)OC1=CC(=O)O
307,C1=CC=C(C=C1)C=CC=O
310,C(=CC(=O)O)C=CC(=O)O
524,C(C(=O)C(=O)O)(C(=O)O)O
542,C1=CC(=O)OC1CC(=O)O
562,CSCCC(=O)C(=CO)O
589,C[N+](C)(C)CC=CC(=O)[O-]
1178,C1=C(NC=N1)C=CC(=O)O
3445,C1C(C=CC=C1C(=O)O)N
5781,C1(=O)C(=O)NC(=O)NC1=O
6261,CN(C(=N[N+](=O)[O-])N)N=O
6544,CC1=CC(=O)CC(C1)(C)C
7268,CCOC(=O)C(=O)OCC
7352,CC(C)COC(=O)C(=C)C
7354,CCCCOC(=O)C(=C)C
7460,CC1=CCC(C=C1)C(C)C
7462,CC1=CC=C(CC1)C(C)C
7827,CCOCCOC(=O)C=C
7837,CC(=C)C(=O)OCC1CO1
8718,CC1=CC(=O)C(=CC1=O)C
10262,CC(=C(C)C(=O)O)C(=O)O
10300,C1CCC(=C(C1)NO)N=O
10312,C=C(C=O)C1=CC=CC=C1
10355,CN1CCC=C(C1)C(=O)O
10438,CC(=CC(=O)C=C(C)C)C
10581,CC1C(=CC=CC1(C)C)C
10688,CC1=C(C(=O)C=CC1=O)C
10876,C1=COC(=C1)C=CC(=O)O
11142,CC(C)C1CCC(=C)C=C1
11196,CCC=CCCC=CC=O
11448,CC(=C)C(=O)OC(C)(C)C
11449,CCCCCC(=O)C(=O)C
12169,C1=COC(=C1)C=CC(=O)N
12215,COC(=O)C=CC(=O)OC
12658,CC=C(C)C=CC=C(C)C
12778,C1=CN(C=CC1=CN=O)O
12781,C1=COC(=C1)C=C[N+](=O)[O-]
13028,C=CC(=O)C1=CC=CC=C1
13406,CC(=O)C=C1CCCCC1
13539,CC(COC(=O)C(=C)C)O
14088,CC(C)N1C(=O)C=CC1=O
14090,C1=CC=C(C=C1)C(=O)C=O
15196,CC=CC=CCOC(=O)C
15613,CC(C)OC(=O)C=C(C)C
16970,CCOC(=O)C=CC=CC
17111,CN(C)CCOC(=O)C=C
17166,CCCCCCC=CC=O
17694,CC(=C)C(=O)OCCCO
18098,C=CCN1C(=O)C=CC1=O
18639,C(=CC(=O)C(=O)O)C=CO
18756,CC(=CCC=C(C)C=C)C
19058,C(=CC(=O)NN)C(=O)NN
20610,CC(=C)C(=O)OCCC#N
