cid,smiles
30,C(=CC=O)C=C(C(=O)O)N
104,C1C=C(OC1=O)CC(=O)O
120,C1=CC(=O)OC1=CC(=O)O
307,C1=CC=C(C=C1)C=CC=O
308,C1=CC=C(C=C1)C=CCO
310,C(=CC(=O)O)C=CC(=O)O
542,C1=CC(=O)OC1CC(=O)O
562,CSCCC(=O)C(=CO)O
589,C[N+](C)(C)CC=CC(=O)[O-]
1178,C1=C(NC=N1)C=CC(=O)O
3445,C1C(C=CC=C1C(=O)O)N
6492,C1C=CC2C1C3CC2C=C3
6544,CC1=CC(=O)CC(C1)(C)C
6616,CC1(C2CCC(C2)C1=C)C
6654,CC1=CCC2CC1C2(C)C
7352,CC(C)COC(=O)C(=C)C
7354,CCCCOC(=O)C(=C)C
7460,CC1=CCC(C=C1)C(C)C
7461,CC1=CCC(=CC1)C(C)C
7462,CC1=CC=C(CC1)C(C)C
7617,C=CCN(CC=C)CC=C
7827,CCOCCOC(=O)C=C
7837,CC(=C)C(=O)OCC1CO1
7941,C=CC1=CC(=CC=C1)C=C
8718,CC1=CC(=O)C(=CC1=O)C
9081,C=C1CC1CC(C(=O)O)N
9211,C1C=CC2=CC=CC=C2O1
9297,CC(C)C(CC=C)C(=O)N
9938,C1CC2=CC=CC=C2C=C1
10047,CC1(C2CCC1(C=C2)C)C
10108,CC1=CC(CC(=O)C1)(C)C
10262,CC(=C(C)C(=O)O)C(=O)O
10300,C1CCC(=C(C1)NO)N=O
10312,C=C(C=O)C1=CC=CC=C1
10354,CC1=CC(CCC1)C(=C)C
10355,CN1CCC=C(C1)C(=O)O
10369,CC1CCC(=CC1)C(C)C
10438,CC(=CC(=O)C=C(C)C)C
10581,CC1C(=CC=CC1(C)C)C
10688,CC1=C(C(=O)C=CC1=O)C
10876,C1=COC(=C1)C=CC(=O)O
11129,CC1(C2C1CC(=C)CC2)C
11142,CC(C)C1CCC(=C)C=C1
11196,CCC=CCCC=CC=O
11448,CC(=C)C(=O)OC(C)(C)C
11463,CC1=CCC(=C(C)C)CC1
11620,CS(=O)C=CCCN=C=S
12169,C1=COC(=C1)C=CC(=O)N
12215,COC(=O)C=CC(=O)OC
12507,COC1=CC=C(C=C1)C=C
12635,C(#N)C(=C(C#N)C#N)C#N
12658,CC=C(C)C=CC=C(C)C
12778,C1=CN(C=CC1=CN=O)O
12781,C1=COC(=C1)C=C[N+](=O)[O-]
13024,CC1C=CC2=CC=CC=C12
13025,CC1=CCC2=CC=CC=C12
13028,C=CC(=O)C1=CC=CC=C1
13030,CC(=CC1=CC=CC=C1)C
13031,CC(=O)CC1=CCCCC1
13033,C=CCCC1=CC=CC=C1
13356,C(C#N)C(=C(C#N)C#N)N
13381,CCCCCCCCC=C
13406,CC(=O)C=C1CCCCC1
13539,CC(COC(=O)C(=C)C)O
13633,C1CCCCC=CCCC1
14088,CC(C)N1C(=O)C=CC1=O
14299,CC1CCC(CC1)C(=C)C
14477,CC(C)(C)NC(C)(C)C=C
14896,CC1(C2CCC(=C)C1C2)C
15196,CC=CC=CCOC(=O)C
15263,CC=CCC1=CC=CC=C1
15307,CCCCC=CCC(=O)O
15317,CC1=CC=CC=C1CC=C
15439,C=CCCCCCCC=C
15574,CCC=CCCOC(=O)C
15613,CC(C)OC(=O)C=C(C)C
15624,C=CCC1=CC=CC=C1O
15977,CC1=COC(CC1)(C)C=O
16265,CC1=CC(=C(C=C1)C)C=C
16266,CC1=C(C(=CC=C1)C)C=C
16544,C1CC(CC=C1)(CO)CO
16587,CC1=CC2=CC=CC=C2C1
16688,CC(C)(C)C1CCC=CC1
16694,CC1=CC(=C(C=C1)C=C)C
16777,CCCCC=CCCC=O
16778,CCC=CCCCCC=O
16970,CCOC(=O)C=CC=CC
17090,CC(CCC=C(C)C)C=C
17111,CN(C)CCOC(=O)C=C
17166,CCCCCCC=CC=O
17243,CCCC=CCOC(=O)C
17694,CC(=C)C(=O)OCCCO
17816,CC(C)CC(=O)OCC=C
17868,CC1=CCC2(C1C2)C(C)C
18098,C=CCN1C(=O)C=CC1=O
18639,C(=CC(=O)C(=O)O)C=CO
18687,CC(=C)CC1=CC=CC=C1
18756,CC(=CCC=C(C)C=C)C
18818,CC(C)C12CCC(=C)C1C2
18940,CCC1=CC=C(C=C1)C=C
19023,CC(=O)C(CC=C)C(=O)C
19058,C(=CC(=O)NN)C(=O)NN
19826,CC1CC(C(=O)O1)CC=C
19974,CCC(C)CCC=C(C)C
20057,CC(C)CC1CCCC=C1
20207,CCCCOCCOC=C
20350,CC1=CCC(CC1)C(=O)O
20369,C1=CC=C(C=C1)C=CCN
20610,CC(=C)C(=O)OCCC#N
20986,C1CC2CC=CC(C1)C2=O
21085,CC(C)CCCC(C)C=C
21108,CC(=O)CCCCCC=C
21476,CC1=CC(=CC(=C1)C=C)C
21671,CC1=CCC(CC1)C(C)C
21894,C1COC(=C(C#N)C#N)O1
21964,CC(C)(C=CC(=O)OC)O
22297,CC(CCC=C(C)C)NC
22311,CC1=CCC(CC1)C(=C)C
22444,CCCC(=CCC)[N+](=O)[O-]
22445,CCCCC(=CC)[N+](=O)[O-]
22446,CCCCC=C(C)[N+](=O)[O-]
22560,CCCC=C(CC)[N+](=O)[O-]
23089,CCCCSCCOC=C
23203,CCCCC=CC=CC=O
23357,CCCCC(C=C)(C#C)O
23571,CC1=C(C(=O)CC1=O)OC
23683,CCOCC=CCOCC
23726,CCCCOC(=O)C=CC
23916,CCCCC=CCCCC
24143,CCC1=CC(=CC=C1)C=C
24151,C=CCOCCOCC=C
24218,CCC1=CC=CC=C1C=C
25445,CC1=C(CCCC1)C(C)C
25930,CC1=CC(=NN1CC=C)C
26049,CC1=CCC2C(C1)C2(C)C
26252,CC(=C1CCCCC1=O)C
26299,CC(C)[C@@H]1CCCC(=C)C1
26300,CC(=C)[C@@H]1CCCC(=C)C1
26630,CCCCCC=CC(=O)C
26655,CC(=O)C1=CCCCCC1
26982,C1CC2CCC1C=C2C#N
27134,CCSCCOC(=O)C=C
27253,CC=C1CCC=C(CC1)C
27790,CC(=O)NC1C=CC(=O)O1
27905,C=COC(=O)C1CCCC1
27906,CC(C)CC(=O)C=C(C)C
28450,CC1=CC(=O)CCC1(C)C
28544,CC1CC(=O)C=CC1(C)C
28551,CCCCC(C=CC=O)O
28930,CC1(C2CCC1C(=C)C2)C
29022,CCCC=CCCC(=O)O
29116,CCCCC=CC(C)(C)O
29838,CCCCC(=O)C=C(C)C
29853,C=C(C(C(C(=C)O)O)O)O
29854,CC1(CO1)COC(=O)C=C
29995,CCC1=C(C(=O)NC1=O)C
31045,CC(=O)OC(C=C)N1CC1
31253,CC(=CCCC(=C)C=C)C
31529,CC(C)(C)C=CC(C)(C)C
32207,CCCCCC(C)(C=C)O
32478,CC1C(C1=C(C)C)C(C)C
32899,CCCCCCCC=CC
33115,CC1CC=C(C(=C1C)C)C
33151,C=CC1CCC(OC1)C=C
33773,CC=CC=CCOCCO
33931,CCC1C(=O)C(=C(O1)C)O
33936,CC1=C(C(=CC=C1)C=C)C
33937,CC1=C(C=C(C=C1)C=C)C
34023,CC(CO)OC(=O)C(=C)C
34134,CCC=CCCC=CCO
34442,CC1=C2C=CCC2=CC=C1
34671,CC=C(C)C=CCC(=C)C
34672,CCC(=CC=CC(=C)C)C
35753,CCN1C(=O)C=C(C1=O)C
36224,CCC1=CN=CC(=N1)C=C
36308,CC(C)CCC=CC(=O)C
36573,CC1=CC(=O)NS(=O)(=O)O1
36619,C1CC2C=CC=CC=C2C1
36654,CCCCC1=CCC(=O)O1
37209,C1CC(=NC1)C=CC(=O)N
38622,CC(CNC(=O)C(=C)C)O
39386,CC#CC=CC=CC(C)O
39389,C=CC1=CC=C(C=C1)C=O
39390,C=CC1=CC(=CC=C1)C=O
39391,C=CC1=CC=CC=C1C=O
39420,CCC#CC=CC=CCO
39540,CC1=CC2CCC(C2)C1=C
39541,C=C1CC2CCC(C2)C1=C
39831,CCOC(=O)C=CN1CC1
40588,CCC(CC=C)(CC=C)O
40707,CC(=C1C2C1CCCC2)C
41092,CC1C(C(=O)C(=C1C)C)C
41167,C=CCCN(CC=C)N=O
41331,CCOC(=O)C=CC(=O)O
41380,CC(=O)C=CCCCC=C
41439,C=CCN(CCO)CCO
41543,CCOCC=CC(C)(C)C
41676,CCC(C)C(C)C(=CC)O
42011,CCC=CCC=CCCO
42853,C1CNC(=C[N+](=O)[O-])SC1
43186,C1=C[C@@H]([C@H](C(=C1)C=O)N)O
43243,CC1=C(CC=CC1)C(C)C
43800,CCC=CC(CC)(CC)N
45075,CN(C)CC(=C)OCC=C
45262,CCOCC=C(C#N)C#N
49662,CC(CC1CCC=C1)NC
51371,CCOC=C(C#N)C(=O)O
